,book_idx,excerpt_idx,segment_idx,segment_1,segment_2,seg1_pos,seg2_pos,distance_bin,present_seg1_first
0,69087,0,0,"*“What I like about you,” said Flora, with a touch of malice, “is your cheery conversation.” I fancy that at that Blunt reddened under his tan. His voice, when he spoke, sounded different—it had a curious sort of humility in it. “Never was much of a fellow for talking. Not*","*“That was a very long time ago, I suppose,” said Flora gravely. I caught the undercurrent of laughter in her voice, but I don’t think Blunt did. “Yes,” he said simply, “it was.” “How does it feel to be Methuselah?” asked Flora. This time the laughter was more apparent, but*",113,168,62,0
1,69087,1,0,"*“That’s the matter in a nutshell,” agreed the inspector. He turned to Mrs. Ackroyd. “Which of the servants would come in here yesterday evening?” “I suppose the housemaid would turn down the bed.” “Who is she? What do you know about her?” “She’s not been here very long,” said Mrs.*","*“I think we ought to clear this matter up,” said the inspector. “If Mr. Ackroyd paid that money away himself, it may have a bearing on the mystery of the crime. The other servants all right, as far as you know?” “Oh, I think so.” “Not missed anything before?” “No.”*",128,186,62,1
2,69087,2,0,"*“He was stabbed in the neck. You know that as well as I do.” “After death, James,” said Caroline; “to make a false clew.” “My good woman,” I said, “I examined the body, and I know what I’m talking about. That wound wasn’t inflicted after death—it was the cause of*","*Caroline merely continued to look omniscient, which so annoyed me that I went on:— “Perhaps you will tell me, Caroline, if I have a medical degree or if I have not?” “You have the medical degree, I dare say, James—at least, I mean I know you have. But you’ve no*",54,113,62,1
3,69087,3,0,"*“I stopped him, of course, but he seemed in a great hurry, and anxious to get away.” I have no doubt but that that was the case. He would feel towards Caroline much as he had felt towards Miss Ganett earlier in the day—perhaps more so. Caroline is less easy*","*“I asked him at once about Ralph. He was absolutely astonished. Had no idea the boy was down here. He actually said he thought I must have made a mistake. I! A mistake!” “Ridiculous,” I said. “He ought to have known you better.” “Then he went on to tell me*",0,53,62,0
4,69087,4,0,"*Poirot! M. Poirot! Oh, do believe me.” Poirot got up and came to her. He patted her reassuringly on the shoulder. “But yes—but yes, I will believe. I had to make you speak, you know.” For an instant suspicion flared up in her. “Is what you said true?” “That Charles*","*You alone can save him, by telling the reason for his being at Fernly.” “He came to see me.” She spoke in a low, hurried voice. “I went out to meet him——” “In the summer-house, yes, I know.” “How do you know?” “Mademoiselle, it is the business of Hercule Poirot*",139,199,62,0
5,69087,5,0,"*I thought that if Mr. Ackroyd was being blackmailed, why shouldn’t I have a share of the pickings?” A very curious expression passed over Poirot’s face. He leaned forward. “Had you any reason to suppose before that night that Mr. Ackroyd was being blackmailed?” “No, indeed, sir. It was a*","*Such a regular gentleman in all his habits.” “How much did you overhear?” “Not very much, sir. There seemed what I might call a spite against me. Of course I had to attend to my duties in the pantry. And when I did creep along once or twice to the*",28,82,62,0
6,69087,6,0,"*“It will be a great privilege to watch you at work——Hallo, what’s this?” Poirot had been standing just to the left of the door. Now he moved aside suddenly, and I saw that while my back was turned he must have swiftly drawn out the arm-chair till it stood in*","*“Want me to sit in the chair whilst you take a blood test?” asked Raymond good-humoredly. “What’s the idea?” “M. Raymond, this chair was pulled out—so—last night when Mr. Ackroyd was found killed. Some one moved it back again into place. Did you do so?” The secretary’s reply came without*",72,127,62,0
7,69087,7,0,"*Did you notice the resemblance?” “I had connected her with the unknown man long before we actually came face to face with him. As soon as we found that quill. The quill suggested dope, and I remembered your account of Miss Russell’s visit to you. Then I found the article*","*It all seemed very clear. She had heard from some one that morning—some one addicted to drugs, she read the article in the paper, and she came to you to ask a few tentative questions. She mentioned cocaine, since the article in question was on cocaine. Then, when you seemed*",29,85,62,1
8,69087,8,0,"*“The question is, what am I to do now? The poor lady is dead. Why rake up past trouble?” “I rather agree with you,” I said. “But there’s another point. How am I to get hold of that scoundrel who drove her to death as surely as if he’d killed*","*He knew of the first crime, and he fastened on to it like some obscene vulture. She’s paid the penalty. Is he to go scot-free?” “I see,” I said slowly. “You want to hunt him down? It will mean a lot of publicity, you know.” “Yes, I’ve thought of that.*",124,175,62,1
9,69087,9,0,"*“Remember the Johnny who sold his soul to the devil? In return for being made young again? There’s an opera about it.” “Faust, you mean?” “That’s the beggar. Rum story. Some of us would do it if we could.” “Any one would think you were creaking at the joints to*","*Blunt said nothing for a minute or two. Then he looked away from Flora into the middle distance and observed to an adjacent tree trunk that it was about time he got back to Africa. “Are you going on another expedition—shooting things?” “Expect so. Usually do, you know—shoot things, I*",47,106,62,1
